date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-01-02,518880,etf,黄金ETF华安,2.821,2.84,2.821,2.837,2.837,2714671,768818288.0,0.39,0.011,2.35,0.67,forward,stock.get_quote_history
2019-01-03,518880,etf,黄金ETF华安,2.84,2.87,2.84,2.868,2.868,2720143,775940608.0,1.09,0.031,2.36,1.06,forward,stock.get_quote_history
2019-01-04,518880,etf,黄金ETF华安,2.881,2.883,2.853,2.853,2.853,2656196,761097792.0,-0.52,-0.015,2.3,1.05,forward,stock.get_quote_history
2019-01-07,518880,etf,黄金ETF华安,2.84,2.843,2.835,2.841,2.841,2541849,721769856.0,-0.42,-0.012,2.2,0.28,forward,stock.get_quote_history
2019-01-08,518880,etf,黄金ETF华安,2.837,2.837,2.824,2.828,2.828,3914090,1107529440.0,-0.46,-0.013,3.39,0.46,forward,stock.get_quote_history
2019-01-09,518880,etf,黄金ETF华安,2.827,2.83,2.813,2.817,2.817,4531045,1278462880.0,-0.39,-0.011,3.93,0.6,forward,stock.get_quote_history
2019-01-10,518880,etf,黄金ETF华安,2.828,2.832,2.822,2.823,2.823,4014738,1135242336.0,0.21,0.006,3.48,0.35,forward,stock.get_quote_history
2019-01-11,518880,etf,黄金ETF华安,2.811,2.812,2.8,2.805,2.805,3698458,1037700528.0,-0.64,-0.018,3.21,0.43,forward,stock.get_quote_history
2019-01-14,518880,etf,黄金ETF华安,2.8,2.809,2.795,2.807,2.807,5330105,1493152288.0,0.07,0.002,4.62,0.5,forward,stock.get_quote_history
2019-01-15,518880,etf,黄金ETF华安,2.805,2.805,2.798,2.801,2.801,2722751,762694400.0,-0.21,-0.006,2.36,0.25,forward,stock.get_quote_history
2019-01-16,518880,etf,黄金ETF华安,2.805,2.809,2.801,2.803,2.803,3105836,871390816.0,0.07,0.002,2.69,0.29,forward,stock.get_quote_history
2019-01-17,518880,etf,黄金ETF华安,2.806,2.81,2.805,2.81,2.81,4031184,1131604816.0,0.25,0.007,3.49,0.18,forward,stock.get_quote_history
2019-01-18,518880,etf,黄金ETF华安,2.809,2.813,2.809,2.811,2.811,2896155,814026016.0,0.04,0.001,2.51,0.14,forward,stock.get_quote_history
2019-01-21,518880,etf,黄金ETF华安,2.799,2.8,2.793,2.8,2.8,1982270,554309856.0,-0.39,-0.011,1.72,0.25,forward,stock.get_quote_history
2019-01-22,518880,etf,黄金ETF华安,2.797,2.8,2.791,2.799,2.799,2033678,568493472.0,-0.04,-0.001,1.76,0.32,forward,stock.get_quote_history
2019-01-23,518880,etf,黄金ETF华安,2.808,2.81,2.801,2.802,2.802,1860719,522073968.0,0.11,0.003,1.61,0.32,forward,stock.get_quote_history
2019-01-24,518880,etf,黄金ETF华安,2.8,2.802,2.797,2.8,2.8,2646538,741042336.0,-0.07,-0.002,2.29,0.18,forward,stock.get_quote_history
2019-01-25,518880,etf,黄金ETF华安,2.8,2.8,2.795,2.797,2.797,1452193,406249376.0,-0.11,-0.003,1.26,0.18,forward,stock.get_quote_history
2019-01-28,518880,etf,黄金ETF华安,2.819,2.825,2.819,2.823,2.823,2535089,715313952.0,0.93,0.026,2.2,0.21,forward,stock.get_quote_history
2019-01-29,518880,etf,黄金ETF华安,2.828,2.835,2.827,2.833,2.833,2229851,631256176.0,0.35,0.01,1.93,0.28,forward,stock.get_quote_history
2019-01-30,518880,etf,黄金ETF华安,2.839,2.843,2.837,2.842,2.842,2032954,577466496.0,0.32,0.009,1.76,0.21,forward,stock.get_quote_history
2019-01-31,518880,etf,黄金ETF华安,2.842,2.843,2.835,2.837,2.837,2399652,681564672.0,-0.18,-0.005,2.08,0.28,forward,stock.get_quote_history
2019-02-01,518880,etf,黄金ETF华安,2.839,2.854,2.839,2.852,2.852,1278354,364228304.0,0.53,0.015,1.11,0.53,forward,stock.get_quote_history
2019-02-11,518880,etf,黄金ETF华安,2.847,2.854,2.839,2.84,2.84,4004501,1140196752.0,-0.42,-0.012,3.47,0.53,forward,stock.get_quote_history
2019-02-12,518880,etf,黄金ETF华安,2.844,2.851,2.843,2.851,2.851,3341782,950977872.0,0.39,0.011,2.9,0.28,forward,stock.get_quote_history
2019-02-13,518880,etf,黄金ETF华安,2.845,2.847,2.843,2.847,2.847,3130336,890693712.0,-0.14,-0.004,2.71,0.14,forward,stock.get_quote_history
2019-02-14,518880,etf,黄金ETF华安,2.844,2.846,2.841,2.843,2.843,3034462,862785648.0,-0.14,-0.004,2.63,0.18,forward,stock.get_quote_history
2019-02-15,518880,etf,黄金ETF华安,2.848,2.861,2.848,2.861,2.861,3410812,973550864.0,0.63,0.018,2.96,0.46,forward,stock.get_quote_history
2019-02-18,518880,etf,黄金ETF华安,2.872,2.877,2.872,2.876,2.876,3382565,972318928.0,0.52,0.015,2.93,0.17,forward,stock.get_quote_history
2019-02-19,518880,etf,黄金ETF华安,2.88,2.883,2.877,2.878,2.878,2947669,849195984.0,0.07,0.002,2.56,0.21,forward,stock.get_quote_history
2019-02-20,518880,etf,黄金ETF华安,2.906,2.909,2.896,2.898,2.898,4396341,1276607584.0,0.69,0.02,3.81,0.45,forward,stock.get_quote_history
2019-02-21,518880,etf,黄金ETF华安,2.889,2.891,2.88,2.88,2.88,2763728,797769392.0,-0.62,-0.018,2.4,0.38,forward,stock.get_quote_history
2019-02-22,518880,etf,黄金ETF华安,2.865,2.867,2.859,2.86,2.86,3426347,981431952.0,-0.69,-0.02,2.97,0.28,forward,stock.get_quote_history
2019-02-25,518880,etf,黄金ETF华安,2.853,2.867,2.853,2.858,2.858,3592992,1027637328.0,-0.07,-0.002,3.11,0.49,forward,stock.get_quote_history
2019-02-26,518880,etf,黄金ETF华安,2.854,2.86,2.852,2.856,2.856,3173365,906260368.0,-0.07,-0.002,2.75,0.28,forward,stock.get_quote_history
2019-02-27,518880,etf,黄金ETF华安,2.856,2.859,2.851,2.853,2.853,4865555,1389254560.0,-0.11,-0.003,4.22,0.28,forward,stock.get_quote_history
2019-02-28,518880,etf,黄金ETF华安,2.843,2.843,2.827,2.833,2.833,3768145,1067875984.0,-0.7,-0.02,3.27,0.56,forward,stock.get_quote_history
2019-03-01,518880,etf,黄金ETF华安,2.827,2.83,2.821,2.826,2.826,2991462,845721648.0,-0.25,-0.007,2.59,0.32,forward,stock.get_quote_history
2019-03-04,518880,etf,黄金ETF华安,2.798,2.798,2.783,2.784,2.784,3615474,1008819808.0,-1.49,-0.042,3.13,0.53,forward,stock.get_quote_history
2019-03-05,518880,etf,黄金ETF华安,2.784,2.784,2.767,2.77,2.77,9451199,2625261728.0,-0.5,-0.014,8.19,0.61,forward,stock.get_quote_history
2019-03-06,518880,etf,黄金ETF华安,2.773,2.785,2.773,2.784,2.784,8232415,2286392624.0,0.51,0.014,7.14,0.43,forward,stock.get_quote_history
2019-03-07,518880,etf,黄金ETF华安,2.782,2.784,2.769,2.773,2.773,7894019,2193678912.0,-0.4,-0.011,6.84,0.54,forward,stock.get_quote_history
2019-03-08,518880,etf,黄金ETF华安,2.783,2.8,2.781,2.799,2.799,3492229,973667552.0,0.94,0.026,3.03,0.69,forward,stock.get_quote_history
2019-03-11,518880,etf,黄金ETF华安,2.809,2.811,2.802,2.808,2.808,7006372,1966875664.0,0.32,0.009,6.07,0.32,forward,stock.get_quote_history
2019-03-12,518880,etf,黄金ETF华安,2.798,2.81,2.798,2.808,2.808,6438284,1806186480.0,0.0,0.0,5.58,0.43,forward,stock.get_quote_history
2019-03-13,518880,etf,黄金ETF华安,2.818,2.826,2.818,2.82,2.82,5677518,1602030912.0,0.43,0.012,4.92,0.28,forward,stock.get_quote_history
2019-03-14,518880,etf,黄金ETF华安,2.822,2.822,2.815,2.815,2.815,5559561,1566932960.0,-0.18,-0.005,4.82,0.25,forward,stock.get_quote_history
2019-03-15,518880,etf,黄金ETF华安,2.801,2.816,2.8,2.811,2.811,6242864,1751427616.0,-0.14,-0.004,5.41,0.57,forward,stock.get_quote_history
2019-03-18,518880,etf,黄金ETF华安,2.807,2.81,2.803,2.807,2.807,5859195,1644714592.0,-0.14,-0.004,5.08,0.25,forward,stock.get_quote_history
2019-03-19,518880,etf,黄金ETF华安,2.815,2.825,2.815,2.823,2.823,5391278,1521791904.0,0.57,0.016,4.67,0.36,forward,stock.get_quote_history
2019-03-20,518880,etf,黄金ETF华安,2.82,2.823,2.818,2.819,2.819,6947507,1959281152.0,-0.14,-0.004,6.02,0.18,forward,stock.get_quote_history
2019-03-21,518880,etf,黄金ETF华安,2.833,2.84,2.832,2.839,2.839,7307281,2072933696.0,0.71,0.02,6.33,0.28,forward,stock.get_quote_history
2019-03-22,518880,etf,黄金ETF华安,2.826,2.834,2.825,2.833,2.833,5689414,1608617904.0,-0.21,-0.006,4.93,0.32,forward,stock.get_quote_history
2019-03-25,518880,etf,黄金ETF华安,2.849,2.852,2.846,2.849,2.849,5747628,1637461424.0,0.56,0.016,4.98,0.21,forward,stock.get_quote_history
2019-03-26,518880,etf,黄金ETF华安,2.855,2.858,2.849,2.85,2.85,6284628,1794025360.0,0.04,0.001,5.45,0.32,forward,stock.get_quote_history
2019-03-27,518880,etf,黄金ETF华安,2.85,2.854,2.845,2.848,2.848,6375187,1817150048.0,-0.07,-0.002,5.53,0.32,forward,stock.get_quote_history
2019-03-28,518880,etf,黄金ETF华安,2.841,2.844,2.837,2.842,2.842,6255969,1776752208.0,-0.21,-0.006,5.42,0.25,forward,stock.get_quote_history
2019-03-29,518880,etf,黄金ETF华安,2.809,2.809,2.786,2.788,2.788,6352249,1777201664.0,-1.9,-0.054,5.51,0.81,forward,stock.get_quote_history
2019-04-01,518880,etf,黄金ETF华安,2.789,2.798,2.787,2.788,2.788,5977778,1669645184.0,0.0,0.0,5.18,0.39,forward,stock.get_quote_history
2019-04-02,518880,etf,黄金ETF华安,2.79,2.797,2.789,2.792,2.792,7396498,2066145904.0,0.14,0.004,6.41,0.29,forward,stock.get_quote_history
2019-04-03,518880,etf,黄金ETF华安,2.797,2.804,2.795,2.797,2.797,6128373,1716433168.0,0.18,0.005,5.31,0.32,forward,stock.get_quote_history
2019-04-04,518880,etf,黄金ETF华安,2.794,2.808,2.793,2.798,2.798,5644031,1579168624.0,0.04,0.001,4.89,0.54,forward,stock.get_quote_history
2019-04-08,518880,etf,黄金ETF华安,2.8,2.814,2.8,2.81,2.81,7203041,2023052736.0,0.43,0.012,6.24,0.5,forward,stock.get_quote_history
2019-04-09,518880,etf,黄金ETF华安,2.816,2.817,2.81,2.811,2.811,5197893,1462605040.0,0.04,0.001,4.51,0.25,forward,stock.get_quote_history
2019-04-10,518880,etf,黄金ETF华安,2.819,2.825,2.817,2.825,2.825,6541525,1844416928.0,0.5,0.014,5.67,0.28,forward,stock.get_quote_history
2019-04-11,518880,etf,黄金ETF华安,2.828,2.832,2.827,2.828,2.828,6350483,1796288736.0,0.11,0.003,5.5,0.18,forward,stock.get_quote_history
2019-04-12,518880,etf,黄金ETF华安,2.804,2.808,2.799,2.8,2.8,5810570,1629478304.0,-0.99,-0.028,5.04,0.32,forward,stock.get_quote_history
2019-04-15,518880,etf,黄金ETF华安,2.789,2.791,2.784,2.785,2.785,5835373,1627040032.0,-0.54,-0.015,5.06,0.25,forward,stock.get_quote_history
2019-04-16,518880,etf,黄金ETF华安,2.784,2.788,2.781,2.785,2.785,6969074,1940707200.0,0.0,0.0,6.04,0.25,forward,stock.get_quote_history
2019-04-17,518880,etf,黄金ETF华安,2.772,2.777,2.768,2.769,2.769,11609783,3218472144.0,-0.57,-0.016,10.06,0.32,forward,stock.get_quote_history
2019-04-18,518880,etf,黄金ETF华安,2.759,2.761,2.749,2.751,2.751,4575602,1261481584.0,-0.65,-0.018,3.97,0.43,forward,stock.get_quote_history
2019-04-19,518880,etf,黄金ETF华安,2.763,2.769,2.762,2.762,2.762,7208711,1994548912.0,0.4,0.011,6.25,0.25,forward,stock.get_quote_history
2019-04-22,518880,etf,黄金ETF华安,2.765,2.775,2.764,2.772,2.772,6552711,1815867360.0,0.36,0.01,5.68,0.4,forward,stock.get_quote_history
2019-04-23,518880,etf,黄金ETF华安,2.771,2.772,2.755,2.757,2.757,8106835,2240418320.0,-0.54,-0.015,7.03,0.61,forward,stock.get_quote_history
2019-04-24,518880,etf,黄金ETF华安,2.756,2.758,2.75,2.754,2.754,8390566,2310969600.0,-0.11,-0.003,7.27,0.29,forward,stock.get_quote_history
2019-04-25,518880,etf,黄金ETF华安,2.765,2.769,2.763,2.767,2.767,6642734,1837607408.0,0.47,0.013,5.76,0.22,forward,stock.get_quote_history
2019-04-26,518880,etf,黄金ETF华安,2.774,2.777,2.769,2.773,2.773,7637192,2117898048.0,0.22,0.006,6.62,0.29,forward,stock.get_quote_history
