date,symbol,asset_type,name,open,high,low,close,adj_close,volume,amount,pct_chg,chg,turnover_rate,amplitude,adjustment_mode,source_api
2019-01-02,000858,stock,五 粮 液,25.32,25.52,23.55,23.66,23.66,232267,1174716784.0,-3.82,-0.94,0.61,8.01,forward,stock.get_quote_history
2019-01-03,000858,stock,五 粮 液,23.76,23.76,21.99,22.68,22.68,278030,1356928384.0,-4.14,-0.98,0.73,7.48,forward,stock.get_quote_history
2019-01-04,000858,stock,五 粮 液,21.95,23.5,21.72,23.26,23.26,241498,1185479552.0,2.56,0.58,0.64,7.85,forward,stock.get_quote_history
2019-01-07,000858,stock,五 粮 液,23.62,23.87,22.75,23.03,23.03,233797,1155244864.0,-0.99,-0.23,0.62,4.82,forward,stock.get_quote_history
2019-01-08,000858,stock,五 粮 液,23.2,23.32,22.6,22.74,22.74,167844,824599216.0,-1.26,-0.29,0.44,3.13,forward,stock.get_quote_history
2019-01-09,000858,stock,五 粮 液,23.13,24.39,22.87,23.75,23.75,330785,1658874320.0,4.44,1.01,0.87,6.68,forward,stock.get_quote_history
2019-01-10,000858,stock,五 粮 液,23.6,23.87,22.95,23.58,23.58,186374,925758400.0,-0.72,-0.17,0.49,3.87,forward,stock.get_quote_history
2019-01-11,000858,stock,五 粮 液,23.77,24.49,23.44,24.41,24.41,247668,1247223824.0,3.52,0.83,0.65,4.45,forward,stock.get_quote_history
2019-01-14,000858,stock,五 粮 液,24.22,24.31,23.2,23.31,23.31,217801,1083865424.0,-4.51,-1.1,0.57,4.55,forward,stock.get_quote_history
2019-01-15,000858,stock,五 粮 液,23.47,26.82,23.23,26.69,26.69,500413,2572947456.0,14.5,3.38,1.32,15.4,forward,stock.get_quote_history
2019-01-16,000858,stock,五 粮 液,26.52,26.52,25.75,25.92,25.92,330078,1727407216.0,-2.88,-0.77,0.87,2.88,forward,stock.get_quote_history
2019-01-17,000858,stock,五 粮 液,26.12,26.51,25.28,25.64,25.64,233910,1221557216.0,-1.08,-0.28,0.62,4.75,forward,stock.get_quote_history
2019-01-18,000858,stock,五 粮 液,25.92,28.22,25.92,27.6,27.6,521235,2803566848.0,7.64,1.96,1.37,8.97,forward,stock.get_quote_history
2019-01-21,000858,stock,五 粮 液,28.37,30.09,28.34,29.72,29.72,549112,3061837200.0,7.68,2.12,1.45,6.34,forward,stock.get_quote_history
2019-01-22,000858,stock,五 粮 液,29.72,29.72,28.37,28.93,28.93,335692,1848120928.0,-2.66,-0.79,0.88,4.54,forward,stock.get_quote_history
2019-01-23,000858,stock,五 粮 液,28.6,29.27,28.32,28.79,28.79,202242,1112986464.0,-0.48,-0.14,0.53,3.28,forward,stock.get_quote_history
2019-01-24,000858,stock,五 粮 液,29.02,29.47,28.22,28.92,28.92,193598,1067519360.0,0.45,0.13,0.51,4.34,forward,stock.get_quote_history
2019-01-25,000858,stock,五 粮 液,29.27,29.57,28.44,28.97,28.97,241740,1341239760.0,0.17,0.05,0.64,3.91,forward,stock.get_quote_history
2019-01-28,000858,stock,五 粮 液,29.72,32.27,29.22,31.19,31.19,592375,3412999040.0,7.66,2.22,1.56,10.53,forward,stock.get_quote_history
2019-01-29,000858,stock,五 粮 液,31.32,32.3,30.42,32.3,32.3,317132,1837922048.0,3.56,1.11,0.84,6.03,forward,stock.get_quote_history
2019-01-30,000858,stock,五 粮 液,32.11,32.89,30.92,31.0,31.0,286802,1664437440.0,-4.02,-1.3,0.76,6.1,forward,stock.get_quote_history
2019-01-31,000858,stock,五 粮 液,31.43,34.38,30.33,34.02,34.02,527324,3103402256.0,9.74,3.02,1.39,13.06,forward,stock.get_quote_history
2019-02-01,000858,stock,五 粮 液,34.52,35.08,33.94,34.9,34.9,390354,2375429264.0,2.59,0.88,1.03,3.35,forward,stock.get_quote_history
2019-02-11,000858,stock,五 粮 液,35.59,38.95,34.32,38.42,38.42,433982,2753822288.0,10.09,3.52,1.14,13.27,forward,stock.get_quote_history
2019-02-12,000858,stock,五 粮 液,38.57,40.49,38.02,38.47,38.47,437642,2856721808.0,0.13,0.05,1.15,6.43,forward,stock.get_quote_history
2019-02-13,000858,stock,五 粮 液,39.2,39.96,38.2,39.79,39.79,374356,2448957568.0,3.43,1.32,0.99,4.57,forward,stock.get_quote_history
2019-02-14,000858,stock,五 粮 液,39.67,42.02,39.31,41.68,41.68,446146,3004589296.0,4.75,1.89,1.18,6.81,forward,stock.get_quote_history
2019-02-15,000858,stock,五 粮 液,41.72,41.92,39.79,40.12,40.12,311272,2082676224.0,-3.74,-1.56,0.82,5.11,forward,stock.get_quote_history
2019-02-18,000858,stock,五 粮 液,40.82,43.62,40.82,43.59,43.59,439770,3023099200.0,8.65,3.47,1.16,6.98,forward,stock.get_quote_history
2019-02-19,000858,stock,五 粮 液,43.4,44.19,42.33,43.39,43.39,339649,2359916160.0,-0.46,-0.2,0.89,4.27,forward,stock.get_quote_history
2019-02-20,000858,stock,五 粮 液,43.22,44.2,41.52,42.73,42.73,296281,2047537232.0,-1.52,-0.66,0.78,6.18,forward,stock.get_quote_history
2019-02-21,000858,stock,五 粮 液,42.68,42.96,41.28,41.77,41.77,283498,1939785168.0,-2.25,-0.96,0.75,3.93,forward,stock.get_quote_history
2019-02-22,000858,stock,五 粮 液,41.11,42.22,40.52,42.22,42.22,238045,1612149504.0,1.08,0.45,0.63,4.07,forward,stock.get_quote_history
2019-02-25,000858,stock,五 粮 液,42.38,45.57,41.21,44.98,44.98,593506,4126012688.0,6.54,2.76,1.56,10.33,forward,stock.get_quote_history
2019-02-26,000858,stock,五 粮 液,44.68,44.72,42.52,42.64,42.64,450654,3137917040.0,-5.2,-2.34,1.19,4.89,forward,stock.get_quote_history
2019-02-27,000858,stock,五 粮 液,43.27,46.2,42.87,43.78,43.78,488307,3448272496.0,2.67,1.14,1.29,7.81,forward,stock.get_quote_history
2019-02-28,000858,stock,五 粮 液,43.52,46.32,42.23,45.22,45.22,394478,2804495424.0,3.29,1.44,1.04,9.34,forward,stock.get_quote_history
2019-03-01,000858,stock,五 粮 液,45.82,49.84,45.42,49.62,49.62,493190,3648644752.0,9.73,4.4,1.3,9.77,forward,stock.get_quote_history
2019-03-04,000858,stock,五 粮 液,50.31,53.22,49.23,50.97,50.97,612471,4731317504.0,2.72,1.35,1.61,8.04,forward,stock.get_quote_history
2019-03-05,000858,stock,五 粮 液,50.96,52.28,50.49,51.49,51.49,332859,2577911824.0,1.02,0.52,0.88,3.51,forward,stock.get_quote_history
2019-03-06,000858,stock,五 粮 液,50.97,51.12,49.72,50.71,50.71,341851,2619984240.0,-1.51,-0.78,0.9,2.72,forward,stock.get_quote_history
2019-03-07,000858,stock,五 粮 液,49.8,49.8,46.92,47.69,47.69,464177,3452843504.0,-5.96,-3.02,1.22,5.68,forward,stock.get_quote_history
2019-03-08,000858,stock,五 粮 液,45.46,48.1,44.73,45.16,45.16,421401,3053064896.0,-5.31,-2.53,1.11,7.07,forward,stock.get_quote_history
2019-03-11,000858,stock,五 粮 液,45.32,50.23,45.32,49.72,49.72,453330,3365404176.0,10.1,4.56,1.19,10.87,forward,stock.get_quote_history
