date,month,theoretical_trade_day,actual_trade_day,monthly_budget,invested_amount,cash_after_trade,manual_review_count,unfilled_count
2019-01-02,2019-01,2019-01-02,2019-01-02,10000.0,7518.861829999999,2481.13817,1,6
2019-02-01,2019-02,2019-02-01,2019-02-01,10000.0,7617.8904,4863.24777,1,6
2019-03-01,2019-03,2019-03-01,2019-03-01,10000.0,7347.13888,7516.1088899999995,1,6
2019-04-01,2019-04,2019-04-01,2019-04-01,10000.0,7739.548349999999,9776.56054,1,8
2019-05-06,2019-05,2019-05-06,2019-05-06,10000.0,7810.14,11966.42054,3,8
2019-06-03,2019-06,2019-06-03,2019-06-03,10000.0,7878.02814,14088.392399999999,2,8
2019-07-01,2019-07,2019-07-01,2019-07-01,10000.0,7734.842239999999,16353.550159999999,1,8
2019-08-01,2019-08,2019-08-01,2019-08-01,10000.0,7947.117840000001,18406.43232,2,8
2019-09-02,2019-09,2019-09-02,2019-09-02,10000.0,7454.37811,20952.05421,2,7
2019-10-08,2019-10,2019-10-08,2019-10-08,10000.0,7384.28711,23567.767099999997,2,7
2019-11-01,2019-11,2019-11-01,2019-11-01,10000.0,7607.476879999999,25960.290219999995,2,7
2019-12-02,2019-12,2019-12-02,2019-12-02,10000.0,7652.735640000001,28307.554579999993,2,7
2020-01-02,2020-01,2020-01-02,2020-01-02,10000.0,7687.380619999999,30620.173959999993,0,7
2020-02-03,2020-02,2020-02-03,2020-02-03,10000.0,7472.101120000001,33148.07283999999,2,7
2020-03-02,2020-03,2020-03-02,2020-03-02,10000.0,7779.199830000001,35368.873009999996,0,7
2020-04-01,2020-04,2020-04-01,2020-04-01,10000.0,7771.69008,37597.182929999995,3,8
2020-05-06,2020-05,2020-05-06,2020-05-06,10000.0,7863.00864,39734.174289999995,2,8
2020-06-01,2020-06,2020-06-01,2020-06-01,10000.0,7587.8514,42146.322889999996,1,8
2020-07-01,2020-07,2020-07-01,2020-07-01,10000.0,7983.3649000000005,44162.957989999995,0,8
2020-08-03,2020-08,2020-08-03,2020-08-03,10000.0,7940.309,46222.648989999994,0,8
2020-09-01,2020-09,2020-09-01,2020-09-01,10000.0,7983.76542,48238.88356999999,0,8
2020-10-09,2020-10,2020-10-09,2020-10-09,10000.0,7465.092020000002,50773.79154999999,0,6
2020-11-02,2020-11,2020-11-02,2020-11-02,10000.0,7758.37279,53015.418759999986,1,6
