date,symbol,asset_type,market_value,current_weight,target_weight,weight_gap,total_value,cash
2019-01-02,510300,etf,3847.9999999999995,0.38517600226541937,0.3,-0.08517600226541938,9990.23817,2481.13817
2019-01-02,510500,etf,2526.3,0.2528768540860523,0.2,-0.052876854086052305,9990.23817,2481.13817
2019-01-02,515180,etf,0.0,0.0,0.2,0.2,9990.23817,2481.13817
2019-01-02,518880,etf,1134.8000000000002,0.11359088549137164,0.1,-0.013590885491371635,9990.23817,2481.13817
2019-01-02,000333,stock,0.0,0.0,0.04,0.04,9990.23817,2481.13817
2019-01-02,000858,stock,0.0,0.0,0.04,0.04,9990.23817,2481.13817
2019-01-02,600036,stock,0.0,0.0,0.04,0.04,9990.23817,2481.13817
2019-01-02,600519,stock,0.0,0.0,0.04,0.04,9990.23817,2481.13817
2019-01-02,601318,stock,0.0,0.0,0.04,0.04,9990.23817,2481.13817
2019-02-01,510300,etf,7565.599999999999,0.3674467909559581,0.3,-0.06744679095595812,20589.64777,4863.24777
2019-02-01,510500,etf,5308.8,0.25783831075221936,0.2,-0.057838310752219346,20589.64777,4863.24777
2019-02-01,515180,etf,0.0,0.0,0.2,0.2,20589.64777,4863.24777
2019-02-01,518880,etf,2852.0,0.1385162112464831,0.1,-0.038516211246483106,20589.64777,4863.24777
2019-02-01,000333,stock,0.0,0.0,0.04,0.04,20589.64777,4863.24777
2019-02-01,000858,stock,0.0,0.0,0.04,0.04,20589.64777,4863.24777
2019-02-01,600036,stock,0.0,0.0,0.04,0.04,20589.64777,4863.24777
2019-02-01,600519,stock,0.0,0.0,0.04,0.04,20589.64777,4863.24777
2019-02-01,601318,stock,0.0,0.0,0.04,0.04,20589.64777,4863.24777
2019-03-01,510300,etf,13377.0,0.40658945564413124,0.3,-0.10658945564413125,32900.50889,7516.1088899999995
2019-03-01,510500,etf,7203.2,0.21893886274170637,0.2,-0.018938862741706364,32900.50889,7516.1088899999995
2019-03-01,515180,etf,0.0,0.0,0.2,0.2,32900.50889,7516.1088899999995
2019-03-01,518880,etf,4804.2,0.1460220574721937,0.1,-0.046022057472193706,32900.50889,7516.1088899999995
2019-03-01,000333,stock,0.0,0.0,0.04,0.04,32900.50889,7516.1088899999995
2019-03-01,000858,stock,0.0,0.0,0.04,0.04,32900.50889,7516.1088899999995
2019-03-01,600036,stock,0.0,0.0,0.04,0.04,32900.50889,7516.1088899999995
2019-03-01,600519,stock,0.0,0.0,0.04,0.04,32900.50889,7516.1088899999995
2019-03-01,601318,stock,0.0,0.0,0.04,0.04,32900.50889,7516.1088899999995
2019-04-01,510300,etf,14347.199999999999,0.3199810121047854,0.3,-0.019981012104785423,44837.66054,9776.56054
2019-04-01,510500,etf,15974.3,0.356269702915236,0.2,-0.156269702915236,44837.66054,9776.56054
2019-04-01,515180,etf,0.0,0.0,0.2,0.2,44837.66054,9776.56054
2019-04-01,518880,etf,4739.599999999999,0.10570578265946254,0.1,-0.005705782659462533,44837.66054,9776.56054
2019-04-01,000333,stock,0.0,0.0,0.04,0.04,44837.66054,9776.56054
2019-04-01,000858,stock,0.0,0.0,0.04,0.04,44837.66054,9776.56054
2019-04-01,600036,stock,0.0,0.0,0.04,0.04,44837.66054,9776.56054
2019-04-01,600519,stock,0.0,0.0,0.04,0.04,44837.66054,9776.56054
2019-04-01,601318,stock,0.0,0.0,0.04,0.04,44837.66054,9776.56054
2019-05-06,510300,etf,20904.0,0.40912650744197065,0.3,-0.10912650744197067,51094.22054,11966.42054
2019-05-06,510500,etf,13475.7,0.2637421582632876,0.2,-0.06374215826328761,51094.22054,11966.42054
2019-05-06,515180,etf,0.0,0.0,0.2,0.2,51094.22054,11966.42054
2019-05-06,518880,etf,4748.1,0.09292831850292867,0.1,0.007071681497071339,51094.22054,11966.42054
2019-05-06,000333,stock,0.0,0.0,0.04,0.04,51094.22054,11966.42054
2019-05-06,000858,stock,0.0,0.0,0.04,0.04,51094.22054,11966.42054
2019-05-06,600036,stock,0.0,0.0,0.04,0.04,51094.22054,11966.42054
2019-05-06,600519,stock,0.0,0.0,0.04,0.04,51094.22054,11966.42054
2019-05-06,601318,stock,0.0,0.0,0.04,0.04,51094.22054,11966.42054
2019-06-03,510300,etf,20682.9,0.33919965654979023,0.3,-0.03919965654979024,60975.5924,14088.392399999999
2019-06-03,510500,etf,13382.7,0.21947634247174613,0.2,-0.019476342471746122,60975.5924,14088.392399999999
