date,month,symbol,asset_type,target_weight,current_weight,recommended_amount,status,pause_buy,manual_review,reasons,manual_pause_buy,manual_force_review,thesis_broken,final_priority_level,final_reason_codes,final_human_readable_action,logic_note
2019-01-02,2019-01,510300,etf,0.3,0.0,4000.0,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-01-02,2019-01,510500,etf,0.2,0.0,2666.666666666667,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-01-02,2019-01,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-01-02,2019-01,518880,etf,0.1,0.0,1333.3333333333335,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-01-02,2019-01,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-01-02,2019-01,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-01-02,2019-01,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-01-02,2019-01,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-01-02,2019-01,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-02-01,2019-02,510300,etf,0.3,0.20986878270387943,3502.0421578833134,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-02-01,2019-02,510500,etf,0.2,0.12885725777414359,2764.246284212765,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-02-01,2019-02,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-02-01,2019-02,518880,etf,0.1,0.055379882334517405,1733.7115579039214,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-02-01,2019-02,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-02-01,2019-02,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-02-01,2019-02,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-02-01,2019-02,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-02-01,2019-02,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-03-01,2019-03,510300,etf,0.3,0.2709810712620549,4496.225151362231,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-03-01,2019-03,510500,etf,0.2,0.1915159784649562,1314.523749482286,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-03-01,2019-03,515180,etf,0.2,0.0,0.0,RED,True,True,缺少可用行情，需人工复核,False,False,False,4,price_red,价格 RED，强制人工复核,
2019-03-01,2019-03,518880,etf,0.1,0.08587043141809454,2189.2510991554827,GREEN,False,False,ETF 风险状态正常,False,False,False,6,green,正常,
2019-03-01,2019-03,600519,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-03-01,2019-03,000858,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-03-01,2019-03,600036,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-03-01,2019-03,000333,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
2019-03-01,2019-03,601318,stock,0.04,0.0,400.0,GREEN,False,False,尚无持仓成本，允许按计划定投,False,False,False,6,green,正常,
