symbol,asset_type,status,reasons,pause_buy,manual_review,metric_value,price_status,price_reasons,manual_pause_buy,manual_force_review,thesis_broken,logic_reasons,final_pause_buy,final_force_review,final_priority_level,final_reason_codes,final_human_readable_action,logic_note,effective_from,updated_at,updated_by,date,check_type
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
510500,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-01-02,monthly_invest_review
518880,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-02,monthly_invest_review
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-01-04,weekly_risk_check
518880,etf,GREEN,ETF 风险状态正常,False,False,0.005230125523012441,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-04,weekly_risk_check
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-01-11,weekly_risk_check
518880,etf,GREEN,ETF 风险状态正常,False,False,0.021966527196652624,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-11,weekly_risk_check
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-01-18,weekly_risk_check
518880,etf,YELLOW,相对参考高点回撤 1.99%，进入 YELLOW 区域；跌破长期均线且持续弱势,True,True,0.019874476987447678,YELLOW,相对参考高点回撤 1.99%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,,True,True,5,price_yellow,价格 YELLOW，暂停新增并人工复核,,,,,2019-01-18,weekly_risk_check
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-18,weekly_risk_check
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.012233211868818364,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-01-25,weekly_risk_check
518880,etf,YELLOW,相对参考高点回撤 2.48%，进入 YELLOW 区域；跌破长期均线且持续弱势,True,True,0.024755927475592656,YELLOW,相对参考高点回撤 2.48%，进入 YELLOW 区域；跌破长期均线且持续弱势,False,False,False,,True,True,5,price_yellow,价格 YELLOW，暂停新增并人工复核,,,,,2019-01-25,weekly_risk_check
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-01-25,weekly_risk_check
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
510500,etf,GREEN,ETF 风险状态正常,False,False,0.01301405517959403,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-02-01,monthly_invest_review
518880,etf,GREEN,ETF 风险状态正常,False,False,0.005578800557880061,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-01,monthly_invest_review
510300,etf,GREEN,ETF 风险状态正常,False,False,0.019690576652601988,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.007260891337005598,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-02-15,weekly_risk_check
518880,etf,GREEN,ETF 风险状态正常,False,False,0.0024407252440724106,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
600519,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
000858,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
600036,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
000333,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
601318,stock,GREEN,尚无持仓成本，允许按计划定投,False,False,,GREEN,尚无持仓成本，允许按计划定投,False,False,False,,False,False,6,green,正常,,,,,2019-02-15,weekly_risk_check
510300,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-22,weekly_risk_check
510500,etf,GREEN,ETF 风险状态正常,False,False,0.0,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-22,weekly_risk_check
515180,etf,RED,缺少可用行情，需人工复核,True,True,,RED,缺少可用行情，需人工复核,False,False,False,,True,True,4,price_red,价格 RED，强制人工复核,,,,,2019-02-22,weekly_risk_check
518880,etf,GREEN,ETF 风险状态正常,False,False,0.013112491373361027,GREEN,ETF 风险状态正常,False,False,False,,False,False,6,green,正常,,,,,2019-02-22,weekly_risk_check
