date,symbol,asset_type,action,price,quantity,trade_value,commission,slippage_cost,total_cash_out,status,final_human_readable_action,final_reason_codes,logic_note,note
2019-01-02,510300,etf,BUY,2.405,1600,3847.9999999999995,1.1543999999999999,3.8479999999999994,3853.0023999999994,GREEN,正常,green,,低频定投买入
2019-01-02,510500,etf,BUY,3.609,700,2526.3,0.75789,2.5263000000000004,2529.58419,GREEN,正常,green,,低频定投买入
2019-01-02,518880,etf,BUY,2.837,400,1134.8000000000002,0.34044,1.1348000000000003,1136.2752400000002,GREEN,正常,green,,低频定投买入
2019-02-01,510300,etf,BUY,2.702,1200,3242.4,0.9727199999999999,3.2424,3246.6151200000004,GREEN,正常,green,,低频定投买入
2019-02-01,510500,etf,BUY,3.792,700,2654.4,0.7963199999999999,2.6544000000000003,2657.85072,GREEN,正常,green,,低频定投买入
2019-02-01,518880,etf,BUY,2.852,600,1711.1999999999998,0.5133599999999999,1.7111999999999998,1713.4245599999997,GREEN,正常,green,,低频定投买入
2019-03-01,510300,etf,BUY,3.185,1400,4459.0,1.3377,4.4590000000000005,4464.7967,GREEN,正常,green,,低频定投买入
2019-03-01,510500,etf,BUY,4.502,200,900.4,0.27011999999999997,0.9004,901.57052,GREEN,正常,green,,低频定投买入
2019-03-01,518880,etf,BUY,2.826,700,1978.2,0.59346,1.9782000000000002,1980.77166,GREEN,正常,green,,低频定投买入
2019-04-01,510500,etf,BUY,5.153,1500,7729.499999999999,2.3188499999999994,7.729499999999999,7739.548349999999,GREEN,正常,green,,低频定投买入
2019-05-06,510300,etf,BUY,3.12,2500,7800.0,2.34,7.8,7810.14,GREEN,正常,green,,低频定投买入
2019-06-03,518880,etf,BUY,2.914,2700,7867.8,2.36034,7.8678,7878.02814,GREEN,正常,green,,低频定投买入
2019-07-01,510500,etf,BUY,4.544,1700,7724.799999999999,2.3174399999999995,7.724799999999999,7734.842239999999,GREEN,正常,green,,低频定投买入
2019-08-01,510300,etf,BUY,3.307,2400,7936.8,2.38104,7.936800000000001,7947.117840000001,GREEN,正常,green,,低频定投买入
2019-09-02,510300,etf,BUY,3.351,1700,5696.7,1.7090099999999997,5.6967,5704.10571,GREEN,正常,green,,低频定投买入
2019-09-02,518880,etf,BUY,3.496,500,1748.0,0.5244,1.748,1750.2724,GREEN,正常,green,,低频定投买入
2019-10-08,510300,etf,BUY,3.341,1700,5679.700000000001,1.70391,5.6797,5687.083610000001,GREEN,正常,green,,低频定投买入
2019-10-08,518880,etf,BUY,3.39,500,1695.0,0.5085,1.695,1697.2034999999998,GREEN,正常,green,,低频定投买入
2019-11-01,510300,etf,BUY,3.473,1700,5904.099999999999,1.7712299999999996,5.9041,5911.7753299999995,GREEN,正常,green,,低频定投买入
2019-11-01,518880,etf,BUY,3.387,500,1693.5,0.50805,1.6935,1695.70155,GREEN,正常,green,,低频定投买入
2019-12-02,510300,etf,BUY,3.342,1700,5681.400000000001,1.70442,5.681400000000001,5688.785820000001,GREEN,正常,green,,低频定投买入
2019-12-02,518880,etf,BUY,3.269,600,1961.4,0.5884199999999999,1.9614,1963.94982,GREEN,正常,green,,低频定投买入
2020-01-02,510500,etf,BUY,4.835,200,967.0,0.29009999999999997,0.967,968.2571,GREEN,正常,green,,低频定投买入
2020-01-02,515180,etf,BUY,0.699,9600,6710.4,2.01312,6.7104,6719.123519999999,GREEN,正常,green,,低频定投买入
2020-02-03,510300,etf,BUY,3.168,1800,5702.400000000001,1.71072,5.702400000000001,5709.813120000001,GREEN,正常,green,,低频定投买入
2020-02-03,518880,etf,BUY,3.52,500,1760.0,0.5279999999999999,1.76,1762.288,GREEN,正常,green,,低频定投买入
2020-03-02,510500,etf,BUY,5.105,300,1531.5000000000002,0.45945,1.5315000000000003,1533.4909500000003,GREEN,正常,green,,低频定投买入
2020-03-02,515180,etf,BUY,0.678,9200,6237.6,1.87128,6.2376000000000005,6245.708880000001,GREEN,正常,green,,低频定投买入
2020-04-01,518880,etf,BUY,3.528,2200,7761.6,2.32848,7.7616000000000005,7771.69008,GREEN,正常,green,,低频定投买入
2020-05-06,510500,etf,BUY,4.908,1600,7852.8,2.3558399999999997,7.8528,7863.00864,GREEN,正常,green,,低频定投买入
2020-06-01,510500,etf,BUY,5.052,1500,7577.999999999999,2.2733999999999996,7.577999999999999,7587.8514,GREEN,正常,green,,低频定投买入
2020-07-01,515180,etf,BUY,0.67,11900,7973.000000000001,2.3919,7.973000000000001,7983.3649000000005,GREEN,正常,green,,低频定投买入
2020-08-03,515180,etf,BUY,0.793,10000,7930.0,2.379,7.930000000000001,7940.309,GREEN,正常,green,,低频定投买入
2020-09-01,515180,etf,BUY,0.822,9700,7973.4,2.3920199999999996,7.9734,7983.76542,GREEN,正常,green,,低频定投买入
2020-10-09,510300,etf,BUY,4.248,200,849.6,0.25488,0.8496,850.70448,GREEN,正常,green,,低频定投买入
2020-10-09,510500,etf,BUY,5.863,200,1172.6000000000001,0.35178000000000004,1.1726,1174.1243800000002,GREEN,正常,green,,低频定投买入
2020-10-09,515180,etf,BUY,0.799,6800,5433.200000000001,1.62996,5.433200000000001,5440.263160000001,GREEN,正常,green,,低频定投买入
2020-11-02,510300,etf,BUY,4.294,400,1717.6,0.51528,1.7176,1719.83288,GREEN,正常,green,,低频定投买入
2020-11-02,510500,etf,BUY,5.665,400,2266.0,0.6798,2.266,2268.9458,GREEN,正常,green,,低频定投买入
2020-11-02,515180,etf,BUY,0.801,4700,3764.7000000000003,1.12941,3.7647000000000004,3769.5941100000005,GREEN,正常,green,,低频定投买入
2020-12-01,510300,etf,BUY,4.651,300,1395.3,0.41858999999999996,1.3953,1397.1138899999999,GREEN,正常,green,,低频定投买入
2020-12-01,510500,etf,BUY,5.949,600,3569.4,1.0708199999999999,3.5694000000000004,3574.04022,GREEN,正常,green,,低频定投买入
2020-12-01,515180,etf,BUY,0.898,2400,2155.2000000000003,0.64656,2.1552000000000002,2158.0017600000006,GREEN,正常,green,,低频定投买入
2021-01-04,510300,etf,BUY,4.843,100,484.3,0.14529,0.4843,484.92959,GREEN,正常,green,,低频定投买入
2021-01-04,510500,etf,BUY,6.014,300,1804.2,0.54126,1.8042,1806.54546,GREEN,正常,green,,低频定投买入
2021-01-04,515180,etf,BUY,0.827,6500,5375.5,1.61265,5.3755,5382.48815,GREEN,正常,green,,低频定投买入
2021-02-01,510500,etf,BUY,5.935,400,2374.0,0.7121999999999999,2.374,2377.0861999999997,GREEN,正常,green,,低频定投买入
2021-02-01,515180,etf,BUY,0.797,6000,4782.0,1.4345999999999999,4.782,4788.2166,GREEN,正常,green,,低频定投买入
2021-03-01,510300,etf,BUY,4.999,900,4499.099999999999,1.3497299999999997,4.499099999999999,4504.948829999999,GREEN,正常,green,,低频定投买入
2021-03-01,510500,etf,BUY,6.029,500,3014.5,0.9043499999999999,3.0145,3018.41885,GREEN,正常,green,,低频定投买入
2021-04-01,515180,etf,BUY,0.893,8900,7947.7,2.3843099999999997,7.9477,7958.03201,GREEN,正常,green,,低频定投买入
2021-05-06,510300,etf,BUY,4.642,1300,6034.6,1.8103799999999999,6.0346,6042.44498,GREEN,正常,green,,低频定投买入
2021-05-06,510500,etf,BUY,6.036,300,1810.8,0.54324,1.8108,1813.15404,GREEN,正常,green,,低频定投买入
2021-06-01,510300,etf,BUY,4.927,900,4434.299999999999,1.3302899999999998,4.4342999999999995,4440.064589999999,GREEN,正常,green,,低频定投买入
2021-06-01,510500,etf,BUY,6.3,300,1890.0,0.567,1.8900000000000001,1892.457,GREEN,正常,green,,低频定投买入
2021-06-01,518880,etf,BUY,3.853,200,770.6,0.23118,0.7706000000000001,771.60178,GREEN,正常,green,,低频定投买入
2021-07-01,510300,etf,BUY,4.835,1100,5318.5,1.5955499999999998,5.3185,5325.41405,GREEN,正常,green,,低频定投买入
2021-07-01,510500,etf,BUY,6.319,300,1895.7,0.5687099999999999,1.8957000000000002,1898.16441,GREEN,正常,green,,低频定投买入
2021-08-02,510500,etf,BUY,6.486,1200,7783.2,2.3349599999999997,7.7832,7793.31816,GREEN,正常,green,,低频定投买入
2021-09-01,510500,etf,BUY,6.808,500,3404.0,1.0211999999999999,3.404,3408.4252,GREEN,正常,green,,低频定投买入
2021-09-01,515180,etf,BUY,1.084,3600,3902.4,1.17072,3.9024,3907.47312,GREEN,正常,green,,低频定投买入
2021-10-08,510500,etf,BUY,6.708,500,3354.0,1.0062,3.354,3358.3601999999996,GREEN,正常,green,,低频定投买入
2021-10-08,515180,etf,BUY,1.059,3700,3918.2999999999997,1.17549,3.9183,3923.3937899999996,GREEN,正常,green,,低频定投买入
2021-11-01,510500,etf,BUY,6.679,1100,7346.900000000001,2.2040699999999998,7.346900000000001,7356.45097,GREEN,正常,green,,低频定投买入
2021-12-01,510500,etf,BUY,6.906,500,3453.0,1.0358999999999998,3.4530000000000003,3457.4889,GREEN,正常,green,,低频定投买入
2021-12-01,515180,etf,BUY,1.024,3900,3993.6,1.1980799999999998,3.9936,3998.79168,GREEN,正常,green,,低频定投买入
2022-01-04,510500,etf,BUY,6.976,500,3488.0,1.0464,3.488,3492.5344,GREEN,正常,green,,低频定投买入
2022-01-04,515180,etf,BUY,1.057,3700,3910.8999999999996,1.1732699999999998,3.9109,3915.9841699999993,GREEN,正常,green,,低频定投买入
2022-02-07,510500,etf,BUY,6.297,600,3778.2,1.13346,3.7782,3783.11166,GREEN,正常,green,,低频定投买入
2022-02-07,515180,etf,BUY,1.029,3800,3910.2,1.1730599999999998,3.9102,3915.2832599999997,GREEN,正常,green,,低频定投买入
2022-03-01,518880,etf,BUY,3.786,2100,7950.6,2.38518,7.9506000000000006,7960.935780000001,GREEN,正常,green,,低频定投买入
2022-04-01,518880,etf,BUY,3.853,2000,7706.0,2.3118,7.706,7716.0178000000005,GREEN,正常,green,,低频定投买入
2022-05-05,518880,etf,BUY,3.929,2000,7858.0,2.3573999999999997,7.8580000000000005,7868.2154,GREEN,正常,green,,低频定投买入
2022-06-01,515180,etf,BUY,1.034,5100,5273.400000000001,1.58202,5.2734000000000005,5280.25542,GREEN,正常,green,,低频定投买入
2022-06-01,518880,etf,BUY,3.852,600,2311.2,0.6933599999999999,2.3112,2314.20456,GREEN,正常,green,,低频定投买入
2022-07-01,515180,etf,BUY,1.061,5000,5305.0,1.5915,5.305,5311.896500000001,GREEN,正常,green,,低频定投买入
2022-07-01,518880,etf,BUY,3.784,700,2648.7999999999997,0.7946399999999999,2.6487999999999996,2652.2434399999997,GREEN,正常,green,,低频定投买入
2022-08-01,515180,etf,BUY,1.039,7600,7896.4,2.3689199999999997,7.8964,7906.665319999999,GREEN,正常,green,,低频定投买入
2022-09-01,515180,etf,BUY,1.07,7400,7918.000000000001,2.3754,7.918000000000001,7928.2934000000005,GREEN,正常,green,,低频定投买入
2022-10-10,515180,etf,BUY,1.024,5200,5324.8,1.59744,5.324800000000001,5331.72224,GREEN,正常,green,,低频定投买入
2022-10-10,518880,etf,BUY,3.81,600,2286.0,0.6858,2.286,2288.9718000000003,GREEN,正常,green,,低频定投买入
2022-11-01,518880,etf,BUY,3.81,2000,7620.0,2.2859999999999996,7.62,7629.906,GREEN,正常,green,,低频定投买入
2022-12-01,515180,etf,BUY,1.087,4900,5326.3,1.5978899999999998,5.326300000000001,5333.22419,GREEN,正常,green,,低频定投买入
2022-12-01,518880,etf,BUY,3.956,600,2373.6,0.7120799999999999,2.3736,2376.6856799999996,GREEN,正常,green,,低频定投买入
2023-01-03,518880,etf,BUY,3.987,2000,7974.0,2.3922,7.974,7984.3662,GREEN,正常,green,,低频定投买入
2023-02-01,515180,etf,BUY,1.079,4900,5287.099999999999,1.5861299999999996,5.2871,5293.973229999999,GREEN,正常,green,,低频定投买入
2023-02-01,518880,etf,BUY,4.091,600,2454.6,0.7363799999999999,2.4546,2457.7909799999998,GREEN,正常,green,,低频定投买入
2023-03-01,510500,etf,BUY,6.171,1200,7405.200000000001,2.22156,7.405200000000001,7414.826760000001,GREEN,正常,green,,低频定投买入
2023-04-03,510500,etf,BUY,6.183,1200,7419.599999999999,2.2258799999999996,7.4196,7429.24548,GREEN,正常,green,,低频定投买入
2023-05-04,515180,etf,BUY,1.181,4500,5314.5,1.59435,5.3145,5321.408850000001,GREEN,正常,green,,低频定投买入
2023-05-04,518880,etf,BUY,4.395,600,2636.9999999999995,0.7910999999999998,2.6369999999999996,2640.4280999999996,GREEN,正常,green,,低频定投买入
2023-06-01,515180,etf,BUY,1.11,4700,5217.000000000001,1.5651000000000002,5.217000000000001,5223.7821,GREEN,正常,green,,低频定投买入
2023-06-01,518880,etf,BUY,4.362,600,2617.2000000000003,0.78516,2.6172000000000004,2620.6023600000003,GREEN,正常,green,,低频定投买入
2023-07-03,515180,etf,BUY,1.115,4700,5240.5,1.57215,5.2405,5247.31265,GREEN,正常,green,,低频定投买入
2023-07-03,518880,etf,BUY,4.358,600,2614.7999999999997,0.7844399999999998,2.6148,2618.1992399999995,GREEN,正常,green,,低频定投买入
2023-08-01,515180,etf,BUY,1.184,4400,5209.599999999999,1.5628799999999996,5.209599999999999,5216.37248,GREEN,正常,green,,低频定投买入
2023-08-01,518880,etf,BUY,4.426,600,2655.6,0.7966799999999999,2.6556,2659.05228,GREEN,正常,green,,低频定投买入
2023-09-01,515180,etf,BUY,1.147,4600,5276.2,1.5828599999999997,5.2762,5283.0590600000005,GREEN,正常,green,,低频定投买入
2023-09-01,518880,etf,BUY,4.489,500,2244.5,0.6733499999999999,2.2445,2247.41785,GREEN,正常,green,,低频定投买入
2023-10-09,515180,etf,BUY,1.154,4600,5308.4,1.5925199999999997,5.3084,5315.30092,GREEN,正常,green,,低频定投买入
2023-10-09,518880,etf,BUY,4.405,600,2643.0,0.7928999999999999,2.6430000000000002,2646.4359,GREEN,正常,green,,低频定投买入
2023-11-01,518880,etf,BUY,4.603,1700,7825.099999999999,2.3475299999999995,7.8251,7835.2726299999995,GREEN,正常,green,,低频定投买入
2023-12-01,518880,etf,BUY,4.589,1700,7801.300000000001,2.34039,7.801300000000001,7811.4416900000015,GREEN,正常,green,,低频定投买入
2024-01-02,518880,etf,BUY,4.666,1700,7932.200000000001,2.37966,7.932200000000001,7942.5118600000005,GREEN,正常,green,,低频定投买入
2024-02-01,515180,etf,BUY,1.118,4700,5254.6,1.57638,5.254600000000001,5261.430980000001,GREEN,正常,green,,低频定投买入
2024-02-01,518880,etf,BUY,4.668,500,2334.0,0.7001999999999999,2.334,2337.0342,GREEN,正常,green,,低频定投买入
2024-03-01,515180,etf,BUY,1.207,4400,5310.8,1.59324,5.3108,5317.7040400000005,GREEN,正常,green,,低频定投买入
2024-03-01,518880,etf,BUY,4.667,500,2333.5,0.70005,2.3335,2336.53355,GREEN,正常,green,,低频定投买入
2024-04-01,515180,etf,BUY,1.205,4400,5302.0,1.5905999999999998,5.3020000000000005,5308.8926,GREEN,正常,green,,低频定投买入
2024-04-01,518880,etf,BUY,5.155,500,2577.5,0.7732499999999999,2.5775,2580.85075,GREEN,正常,green,,低频定投买入
2024-05-06,515180,etf,BUY,1.246,4200,5233.2,1.5699599999999998,5.2332,5240.003159999999,GREEN,正常,green,,低频定投买入
2024-05-06,518880,etf,BUY,5.254,500,2627.0,0.7880999999999999,2.6270000000000002,2630.4151,GREEN,正常,green,,低频定投买入
2024-06-03,515180,etf,BUY,1.273,4100,5219.299999999999,1.5657899999999996,5.2193,5226.085089999999,GREEN,正常,green,,低频定投买入
2024-06-03,518880,etf,BUY,5.296,500,2648.0,0.7943999999999999,2.648,2651.4424000000004,GREEN,正常,green,,低频定投买入
2024-07-01,515180,etf,BUY,1.264,4200,5308.8,1.5926399999999998,5.308800000000001,5315.70144,GREEN,正常,green,,低频定投买入
2024-07-01,518880,etf,BUY,5.299,500,2649.5,0.79485,2.6495,2652.94435,GREEN,正常,green,,低频定投买入
2024-08-01,518880,etf,BUY,5.48,1400,7672.000000000001,2.3016,7.6720000000000015,7681.9736,GREEN,正常,green,,低频定投买入
2024-09-02,518880,etf,BUY,5.491,1400,7687.4,2.3062199999999997,7.6874,7697.39362,GREEN,正常,green,,低频定投买入
2024-10-08,515180,etf,BUY,1.37,3800,5206.0,1.5617999999999999,5.206,5212.7678000000005,GREEN,正常,green,,低频定投买入
2024-10-08,518880,etf,BUY,5.714,400,2285.6000000000004,0.6856800000000001,2.2856000000000005,2288.5712800000006,GREEN,正常,green,,低频定投买入
2024-11-01,515180,etf,BUY,1.265,4200,5313.0,1.5938999999999999,5.313,5319.9069,GREEN,正常,green,,低频定投买入
2024-11-01,518880,etf,BUY,6.051,400,2420.4,0.72612,2.4204000000000003,2423.54652,GREEN,正常,green,,低频定投买入
2024-12-02,515180,etf,BUY,1.282,4100,5256.2,1.5768599999999997,5.2562,5263.03306,GREEN,正常,green,,低频定投买入
2024-12-02,518880,etf,BUY,5.872,400,2348.8,0.70464,2.3488,2351.8534400000003,GREEN,正常,green,,低频定投买入
2025-01-02,515180,etf,BUY,1.29,4100,5289.0,1.5866999999999998,5.289,5295.8757,GREEN,正常,green,,低频定投买入
2025-01-02,518880,etf,BUY,5.977,400,2390.8,0.71724,2.3908,2393.9080400000003,GREEN,正常,green,,低频定投买入
2025-02-05,515180,etf,BUY,1.252,4200,5258.4,1.5775199999999998,5.2584,5265.235919999999,GREEN,正常,green,,低频定投买入
2025-02-05,518880,etf,BUY,6.439,400,2575.6,0.7726799999999999,2.5756,2578.94828,GREEN,正常,green,,低频定投买入
2025-03-03,515180,etf,BUY,1.255,4200,5271.0,1.5813,5.271,5277.8523,GREEN,正常,green,,低频定投买入
2025-03-03,518880,etf,BUY,6.451,400,2580.3999999999996,0.7741199999999998,2.5803999999999996,2583.7545199999995,GREEN,正常,green,,低频定投买入
2025-04-01,515180,etf,BUY,1.292,4100,5297.2,1.58916,5.2972,5304.08636,GREEN,正常,green,,低频定投买入
2025-04-01,518880,etf,BUY,7.056,300,2116.8,0.63504,2.1168,2119.55184,GREEN,正常,green,,低频定投买入
2025-05-06,515180,etf,BUY,1.267,4200,5321.4,1.5964199999999997,5.3214,5328.317819999999,GREEN,正常,green,,低频定投买入
2025-05-06,518880,etf,BUY,7.612,300,2283.6,0.6850799999999999,2.2836,2286.5686800000003,GREEN,正常,green,,低频定投买入
2025-06-03,518880,etf,BUY,7.478,1000,7478.0,2.2434,7.478,7487.7214,GREEN,正常,green,,低频定投买入
2025-07-01,518880,etf,BUY,7.397,1000,7397.0,2.2190999999999996,7.397,7406.6161,GREEN,正常,green,,低频定投买入
2025-08-01,510500,etf,BUY,6.225,1200,7470.0,2.2409999999999997,7.47,7479.711,GREEN,正常,green,,低频定投买入
2025-09-01,510500,etf,BUY,7.144,1100,7858.400000000001,2.35752,7.8584000000000005,7868.61592,GREEN,正常,green,,低频定投买入
2025-10-09,510300,etf,BUY,4.693,1300,6100.9,1.8302699999999998,6.100899999999999,6108.83117,GREEN,正常,green,,低频定投买入
2025-10-09,510500,etf,BUY,7.587,200,1517.3999999999999,0.4552199999999999,1.5173999999999999,1519.3726199999999,GREEN,正常,green,,低频定投买入
2025-11-03,510300,etf,BUY,4.64,1300,6032.0,1.8095999999999999,6.032,6039.8416,GREEN,正常,green,,低频定投买入
2025-11-03,510500,etf,BUY,7.377,200,1475.3999999999999,0.4426199999999999,1.4753999999999998,1477.31802,GREEN,正常,green,,低频定投买入
2025-12-01,510500,etf,BUY,7.14,1100,7854.0,2.3562,7.854,7864.2102,GREEN,正常,green,,低频定投买入
