date,symbol,asset_type,recommended_amount,status,final_human_readable_action,final_reason_codes,logic_note,reason
2019-01-02,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-01-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-02-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-03-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-04-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-04-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-04-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-05-06,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-05-06,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-05-06,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-06-03,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-06-03,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-06-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-07-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-07-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-07-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
