key,value_a,value_b,change_type,absolute_change,relative_change,direction
baseline_assessment,,中性可用,added,,,added
effective_in_range_count,9.0,,removed,,,removed
etf_risk_rule_recommendation,,保留,added,,,added
force_review_count,0.0,,removed,,,removed
keep_first_trading_day_default,,保留,added,,,added
keep_forward_default,,保留，但需备注限制,added,,,added
pause_buy_count,0.0,,removed,,,removed
stock_risk_rule_recommendation,,证据不足，暂不调整,added,,,added
symbols_flagged,9.0,,removed,,,removed
thesis_broken_count,0.0,,removed,,,removed
